epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,334.114,1.57474,0.85052,1.08579,0.81863,0.76012,0.83983,0.46732,1.59046,0.87106,1.11818,0.0011882,0.0011882,0.0011882
43,342.035,1.56216,0.85544,1.10355,0.80454,0.73765,0.81224,0.46279,1.56252,0.84918,1.13056,0.0011684,0.0011684,0.0011684
44,349.774,1.56028,0.84776,1.09726,0.82633,0.74677,0.83351,0.47481,1.54754,0.85808,1.11262,0.0011486,0.0011486,0.0011486
45,357.557,1.56764,0.85487,1.09356,0.82352,0.75893,0.8374,0.47013,1.56924,0.85951,1.12182,0.0011288,0.0011288,0.0011288
46,365.33,1.58052,0.85944,1.11238,0.82316,0.74705,0.83587,0.47193,1.55331,0.85776,1.1145,0.001109,0.001109,0.001109
47,373.087,1.55731,0.84381,1.09872,0.82145,0.7495,0.83065,0.47416,1.55138,0.84173,1.11381,0.0010892,0.0010892,0.0010892
48,380.813,1.5605,0.84833,1.09645,0.81449,0.74787,0.83373,0.47051,1.55198,0.87143,1.10866,0.0010694,0.0010694,0.0010694
49,388.575,1.6001,0.85349,1.10519,0.81341,0.75531,0.83835,0.48124,1.52936,0.8383,1.10608,0.0010496,0.0010496,0.0010496
50,396.392,1.56433,0.83848,1.09845,0.81025,0.7648,0.83606,0.47376,1.56413,0.84261,1.11647,0.0010298,0.0010298,0.0010298
51,404.118,1.56059,0.84328,1.10414,0.82343,0.75365,0.83345,0.47348,1.55371,0.83887,1.11723,0.00101,0.00101,0.00101
52,411.865,1.55253,0.82129,1.0816,0.82632,0.76242,0.84392,0.48335,1.53744,0.82855,1.10721,0.0009902,0.0009902,0.0009902
53,419.649,1.55254,0.82844,1.08472,0.82034,0.75881,0.83474,0.47635,1.5534,0.83183,1.12572,0.0009704,0.0009704,0.0009704
54,427.366,1.54845,0.8417,1.09359,0.82238,0.76627,0.84387,0.48082,1.54832,0.84539,1.10977,0.0009506,0.0009506,0.0009506
55,435.064,1.53953,0.8295,1.08847,0.82757,0.7575,0.84162,0.47278,1.57108,0.85855,1.1167,0.0009308,0.0009308,0.0009308
56,442.784,1.53752,0.82064,1.08987,0.82327,0.75407,0.8346,0.47951,1.54037,0.84434,1.11297,0.000911,0.000911,0.000911
57,450.577,1.52535,0.81849,1.09844,0.8253,0.75704,0.84244,0.47972,1.55352,0.83507,1.11638,0.0008912,0.0008912,0.0008912
58,458.282,1.5716,0.83451,1.09551,0.82485,0.75509,0.83763,0.48023,1.54331,0.83992,1.11125,0.0008714,0.0008714,0.0008714
59,466.003,1.51609,0.8152,1.07513,0.83211,0.75365,0.84297,0.4825,1.53343,0.82975,1.11143,0.0008516,0.0008516,0.0008516
60,473.773,1.55527,0.8314,1.09837,0.82348,0.76627,0.83811,0.47082,1.57254,0.83262,1.12624,0.0008318,0.0008318,0.0008318
61,481.49,1.5361,0.81025,1.08492,0.82193,0.76987,0.84521,0.48211,1.54524,0.82182,1.11767,0.000812,0.000812,0.000812
62,489.203,1.55472,0.82166,1.10149,0.83136,0.77146,0.84886,0.48962,1.52833,0.81296,1.10676,0.0007922,0.0007922,0.0007922
