                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.9364,                 1.1339,                 1.3607,                 1.9835,                 1.5268,                 1.2818,                0.65529,                0.58563,                0.63787,                0.31411,                 1.8526,                 1.1012,                 1.3732,                 1.8203,                 1.4739,                 1.2932,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.9405,                 1.1451,                 1.3551,                 1.9991,                  1.521,                 1.2785,                 0.6468,                0.57209,                0.62727,                0.31326,                 1.8754,                 1.0844,                  1.375,                 1.8622,                  1.455,                 1.3084,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.9391,                 1.1443,                 1.3577,                 1.9878,                 1.5036,                 1.2847,                0.65664,                0.58055,                0.63649,                0.31286,                 1.8779,                 1.0997,                 1.3735,                 1.8641,                 1.4602,                 1.3112,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.9422,                 1.1335,                 1.3295,                 2.0144,                   1.51,                 1.2554,                0.65877,                0.59748,                 0.6594,                0.33663,                 1.8097,                 1.0692,                 1.3327,                 1.7809,                 1.4499,                  1.271,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.8835,                 1.1024,                  1.339,                 1.9531,                 1.4901,                 1.2643,                0.65668,                0.59855,                0.66138,                0.33455,                 1.8128,                 1.0357,                 1.3436,                 1.8034,                 1.3893,                 1.2871,               0.001505,               0.001505,               0.001505
                     28,                 1.9013,                 1.0877,                 1.3406,                 1.9629,                 1.4527,                 1.2735,                0.66372,                0.59584,                0.66194,                0.33122,                 1.7858,                 1.0694,                 1.3244,                 1.8033,                 1.4034,                 1.2759,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.9104,                  1.117,                 1.3316,                 1.9791,                 1.4779,                 1.2586,                0.67874,                0.61115,                0.67504,                0.34594,                 1.7761,                 1.0246,                 1.3128,                 1.7682,                 1.3798,                 1.2606,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.8753,                 1.0896,                 1.3278,                 1.9325,                 1.4614,                 1.2557,                0.67639,                0.61459,                0.67842,                0.34721,                 1.8036,                 1.0064,                 1.3184,                 1.7822,                 1.3376,                 1.2668,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.8588,                  1.067,                 1.3185,                 1.9351,                 1.4182,                 1.2513,                0.68549,                0.62117,                0.68198,                 0.3497,                  1.746,                 1.0159,                 1.3049,                 1.7732,                 1.3319,                 1.2598,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.8508,                 1.0663,                  1.316,                 1.9273,                 1.4176,                 1.2558,                0.67944,                0.61794,                0.68063,                0.35039,                 1.7883,                 1.0089,                 1.3242,                 1.7776,                 1.3237,                 1.2711,               0.001406,               0.001406,               0.001406
